Central,Recurso,Punto_de_ medición,X_coord,Y_coord,Frecuencia ,Norma_tabla,Parámetro,Fecha,Medición,Observación
Mazar,Agua de rio,Antes de la central alazán,760333,9715272,Anual,Acuerdo_ministerial 97a_tabla 2,Coliformes fecales,19/09/2019 15:24,50.4,
Mazar,Agua de rio,Antes de la central alazán,760333,9715272,Anual,Acuerdo_ministerial 97a_tabla 2,DBO5,19/09/2019 15:24,6,
Mazar,Agua de rio,Antes de la central alazán,760333,9715272,Anual,Acuerdo_ministerial 97a_tabla 2,DQO,19/09/2019 15:24,10,
Mazar,Agua de rio,Antes de la central alazán,760333,9715272,Anual,Acuerdo_ministerial 97a_tabla 2,Oxígeno disuelto,19/09/2019 15:24,10.28,
Mazar,Agua de rio,Antes de la central alazán,760333,9715272,Anual,Acuerdo_ministerial 97a_tabla 2,pH,19/09/2019 15:24,7.9,
Mazar,Agua de rio,Antes de la unión con el río paute,764452,9713106,Anual,Acuerdo_ministerial 97a_tabla 2,DBO5,19/09/2019 15:24,7,
Mazar,Agua de rio,Antes de la unión con el río paute,764452,9713106,Anual,Acuerdo_ministerial 97a_tabla 2,DQO,19/09/2019 15:24,11,
Mazar,Agua de rio,Antes de la unión con el río paute,764452,9713106,Anual,Acuerdo_ministerial 97a_tabla 2,Oxígeno disuelto ,19/09/2019 15:24,10.18,
Mazar,Agua de rio,Antes de la unión con el río paute,764452,9713106,Anual,Acuerdo_ministerial 97a_tabla 2,pH,19/09/2019 15:24,8.2,
Mazar,Agua de rio,Antes de la central alazán ,760333,9715272,Semestral,Acuerdo_ministerial 97a_tabla 2,Coliformes fecales,28/08/2020 17:20,1.8,
Mazar,Agua de rio,Antes de la central alazán ,760333,9715272,Semestral,Acuerdo_ministerial 97a_tabla 2,pH,28/08/2020 17:20,7.59,
Mazar,Agua de rio,Antes de la central alazán ,760333,9715272,Semestral,Acuerdo_ministerial 97a_tabla 2,Turbiedad,28/08/2020 17:20,3.85,
