Central,Recurso,Punto_de_medición,X_coord,Y_coord,Frecuencia ,Norma_tabla,Parámetro,Fecha,Medición,Observación
Sopladora,Suelo ,Taller_automotriz_pesados_p4                                                                                                                                                                                                                   ,783333,9711520,Semestral,Acuerdo_ministerial 97a_anexo2_tabla 2,Vanadio,20/03/2018 10:06,20.63,
Sopladora,Suelo ,Taller_automotriz_pesados_p4                                                                                                                                                                                                                   ,783333,9711520,Semestral,Acuerdo_ministerial 97a_anexo2_tabla 2,Aceites y grasas,20/03/2018 10:06,6220.8,
Sopladora,Suelo ,Taller_automotriz_pesados_p4                                                                                                                                                                                                                   ,783333,9711520,Semestral,Acuerdo_ministerial 97a_anexo2_tabla 2,Hidrocarburos_aromáticos_policiclicos,20/03/2018 10:06,0.07,
Sopladora,Suelo ,Taller_automotriz_pesados_p4                                                                                                                                                                                                                   ,783333,9711520,Semestral,Acuerdo_ministerial 97a_anexo2_tabla 2,Bifenilos policlorados pcbs,20/03/2018 10:06,0.001,
Sopladora,Suelo ,Taller_automotriz_pesados_p4                                                                                                                                                                                                                   ,783333,9711520,Semestral,Acuerdo_ministerial 97a_anexo2_tabla 2,Benceno,20/03/2018 10:06,0.01,
Sopladora,Suelo ,Taller_automotriz_pesados_p4                                                                                                                                                                                                                   ,783333,9711520,Semestral,Acuerdo_ministerial 97a_anexo2_tabla 2,Etilbenceno,20/03/2018 10:06,0.01,
Sopladora,Suelo ,Taller_automotriz_pesados_p4                                                                                                                                                                                                                   ,783333,9711520,Semestral,Acuerdo_ministerial 97a_anexo2_tabla 2,Tolueno,20/03/2018 10:06,0.01,
Sopladora,Suelo ,Taller_automotriz_pesados_p4                                                                                                                                                                                                                   ,783333,9711520,Semestral,Acuerdo_ministerial 97a_anexo2_tabla 2,Xileno,20/03/2018 10:06,0.01,
Sopladora,Suelo ,Taller_automotriz_pesados_p4                                                                                                                                                                                                                   ,783333,9711520,Semestral,Acuerdo_ministerial 97a_anexo2_tabla 2,Clorobenceno,20/03/2018 10:06,0.02,
Sopladora,Suelo ,Taller_automotriz_pesados_p4                                                                                                                                                                                                                   ,783333,9711520,Semestral,Acuerdo_ministerial 97a_anexo2_tabla 2,Estireno,20/03/2018 10:06,0.02,
Sopladora,Suelo ,Taller_automotriz_livianos_p1                                                                                                                                                                                                                  ,783420,9711582,Semestral,Acuerdo_ministerial 97a_anexo2_tabla 2,pH,20/03/2018 9:21,7.72,
Sopladora,Suelo ,Taller_automotriz_livianos_p1                                                                                                                                                                                                                  ,783420,9711582,Semestral,Acuerdo_ministerial 97a_anexo2_tabla 2,Cromo hexavalente,20/03/2018 9:21,0.01,
Sopladora,Suelo ,Taller_automotriz_livianos_p1                                                                                                                                                                                                                  ,783420,9711582,Semestral,Acuerdo_ministerial 97a_anexo2_tabla 2,Cobre,20/03/2018 9:21,35.03,
Sopladora,Suelo ,Taller_automotriz_livianos_p1                                                                                                                                                                                                                  ,783420,9711582,Semestral,Acuerdo_ministerial 97a_anexo2_tabla 2,Níquel,20/03/2018 9:21,16.81,
Sopladora,Suelo ,Taller_automotriz_livianos_p1                                                                                                                                                                                                                  ,783420,9711582,Semestral,Acuerdo_ministerial 97a_anexo2_tabla 2,Plomo,20/03/2018 9:21,13.8,
