Central,Recurso,Punto_de_medición,X_coord,Y_coord,Frecuencia ,Norma_tabla,Parámetro,Fecha,Medición,Observación
Mazar,Agua cruda,Casa_de_máquinas ,765114,9713222,Anual,Acuerdo_ministerial 97a_tabla 1,Manganeso,18/09/2019 16:33,0.1,
Mazar,Agua cruda,Casa_de_máquinas ,765114,9713222,Anual,Acuerdo_ministerial 97a_tabla 1,Níquel,18/09/2019 16:33,0.025,
Mazar,Agua cruda,Casa_de_máquinas ,765114,9713222,Anual,Acuerdo_ministerial 97a_tabla 1,Oxígeno disuelto,18/09/2019 16:33,10.09,
Mazar,Agua cruda,Casa_de_máquinas ,765114,9713222,Anual,Acuerdo_ministerial 97a_tabla 1,pH,18/09/2019 16:33,9.1,
Mazar,Agua cruda,Casa_de_máquinas_ingreso ,765498,9713304,Semestral,Acuerdo_ministerial 97a_tabla 1 ,Color real,28/08/2020 11:00,67,
Mazar,Agua cruda,Casa_de_máquinas_ingreso ,765498,9713304,Semestral,Acuerdo_ministerial 97a_tabla 1 ,Turbiedad,28/08/2020 11:00,7.09,
Mazar,Agua cruda,Casa_de_máquinas_ingreso ,765498,9713304,Semestral,Acuerdo_ministerial 97a_tabla 1 ,Hierro,28/08/2020 11:00,1.7,
Mazar,Agua cruda,Casa_de_máquinas_ingreso ,765498,9713304,Semestral,Acuerdo_ministerial 97a_tabla 1 ,Coliformes fecales,28/08/2020 11:00,180,
Mazar,Agua cruda,Casa_de_máquinas_ingreso ,765498,9713304,Semestral,Acuerdo_ministerial 97a_tabla 1 ,pH,28/08/2020 11:00,"8,12",
Mazar,Agua cruda,Campamento_arenales ,770542,9716201,Semestral,Acuerdo_ministerial 97a_tabla 1 ,Color real,28/08/2020 13:38,17,
Mazar,Agua cruda,Campamento_arenales ,770542,9716201,Semestral,Acuerdo_ministerial 97a_tabla 1 ,Turbiedad,28/08/2020 13:38,"0,7",
Mazar,Agua cruda,Campamento_arenales ,770542,9716201,Semestral,Acuerdo_ministerial 97a_tabla 1 ,Coliformes fecales,28/08/2020 13:38,"1,1",
Mazar,Agua cruda,Campamento_arenales ,770542,9716201,Semestral,Acuerdo_ministerial 97a_tabla 1 ,pH,28/08/2020 13:38,"6,6",
Mazar,Agua cruda,Casa_de_máquinas_ingreso ,765498,9713304,Anual,Acuerdo_ministerial 97a_tabla 1 ,Coliformes fecales,20/11/2020 10:40,460,
Mazar,Agua cruda,Casa_de_máquinas_ingreso ,765498,9713304,Anual,Acuerdo_ministerial 97a_tabla 1 ,Color real,20/11/2020 10:40,53,
Mazar,Agua cruda,Casa_de_máquinas_ingreso ,765498,9713304,Anual,Acuerdo_ministerial 97a_tabla 1 ,Hierro,20/11/2020 10:40,"1,7",
Mazar,Agua cruda,Casa_de_máquinas_ingreso ,765498,9713304,Anual,Acuerdo_ministerial 97a_tabla 1 ,pH,20/11/2020 10:40,"7,6",
Mazar,Agua cruda,Casa_de_máquinas_ingreso ,765498,9713304,Anual,Acuerdo_ministerial 97a_tabla 1 ,Turbiedad,20/11/2020 10:40,"3,05",
Mazar,Agua cruda,Campamento_arenales ,770542,9716201,Anual,Acuerdo_ministerial 97a_tabla 1 ,Coliformes fecales,20/11/2020 10:40,"1,1",
Mazar,Agua cruda,Campamento_arenales ,770542,9716201,Anual,Acuerdo_ministerial 97a_tabla 1 ,Color real,20/11/2020 10:40,14,
Mazar,Agua cruda,Campamento_arenales ,770542,9716201,Anual,Acuerdo_ministerial 97a_tabla 1 ,pH,20/11/2020 10:40,"6,62",
Mazar,Agua cruda,Campamento_arenales ,770542,9716201,Anual,Acuerdo_ministerial 97a_tabla 1 ,Turbiedad,20/11/2020 10:40,"0,7",
Mazar,Agua cruda,Casa_de_máquinas_ingreso,765498,9713304,Anual,Acuerdo_ministerial 97a_tabla 1 ,Coliformes fecales,17/05/2021 14:45,710,
Mazar,Agua cruda,Casa_de_máquinas_ingreso,765498,9713304,Anual,Acuerdo_ministerial 97a_tabla 1 ,Color real,17/05/2021 14:45,24,
Mazar,Agua cruda,Casa_de_máquinas_ingreso,765498,9713304,Anual,Acuerdo_ministerial 97a_tabla 1 ,Hierro,17/05/2021 14:45,"1,7",
Mazar,Agua cruda,Casa_de_máquinas_ingreso,765498,9713304,Anual,Acuerdo_ministerial 97a_tabla 1 ,pH,17/05/2021 14:45,"8,01",
Mazar,Agua cruda,Casa_de_máquinas_ingreso,765498,9713304,Anual,Acuerdo_ministerial 97a_tabla 1 ,Turbiedad,17/05/2021 14:45,"7,24",
Mazar,Agua cruda,Campamento_arenales ,770542,9716201,Anual,Acuerdo_ministerial 97a_tabla 1 ,Coliformes fecales,17/05/2021 12:30,"1,8",
Mazar,Agua cruda,Campamento_arenales ,770542,9716201,Anual,Acuerdo_ministerial 97a_tabla 1 ,Color real,17/05/2021 12:30,8,
Mazar,Agua cruda,Campamento_arenales ,770542,9716201,Anual,Acuerdo_ministerial 97a_tabla 1 ,Hierro,17/05/2021 12:30,"1,7",
Mazar,Agua cruda,Campamento_arenales ,770542,9716201,Anual,Acuerdo_ministerial 97a_tabla 1 ,pH,17/05/2021 12:30,"6,01",
Mazar,Agua cruda,Campamento_arenales ,770542,9716201,Anual,Acuerdo_ministerial 97a_tabla 1 ,Turbiedad,17/05/2021 12:30,"0,7",
Molino,Agua cruda,Quebrada_campamento,777930,9714120,Semestral,Acuerdo_ministerial 97a_tabla 1,Coliformes fecales,18/03/2018 15:05,10,
Molino,Agua cruda,Quebrada_campamento,777930,9714120,Semestral,Acuerdo_ministerial 97a_tabla 1,Color real,18/03/2018 15:05,10,
Molino,Agua cruda,Quebrada_campamento,777930,9714120,Semestral,Acuerdo_ministerial 97a_tabla 1,DBO5,18/03/2018 15:05,"1,62",
Molino,Agua cruda,Quebrada_campamento,777930,9714120,Semestral,Acuerdo_ministerial 97a_tabla 1,Hierro,18/03/2018 15:05,"0,01",
Molino,Agua cruda,Quebrada_campamento,777930,9714120,Semestral,Acuerdo_ministerial 97a_tabla 1,pH,18/03/2018 15:05,"7,82",
Molino,Agua cruda,Quebrada_campamento,777930,9714120,Semestral,Acuerdo_ministerial 97a_tabla 1,Turbiedad,18/03/2018 15:05,"0,1",
Molino,Agua cruda,Casa_de_máquinas,776563,9715038,Semestral,Acuerdo_ministerial 97a_tabla 1,Coliformes fecales,20/03/2018 15:09,52,
Molino,Agua cruda,Casa_de_máquinas,776563,9715038,Semestral,Acuerdo_ministerial 97a_tabla 1,Color real,20/03/2018 15:09,11,
Molino,Agua cruda,Casa_de_máquinas,776563,9715038,Semestral,Acuerdo_ministerial 97a_tabla 1,DBO5,20/03/2018 15:09,"1,77",
Molino,Agua cruda,Casa_de_máquinas,776563,9715038,Semestral,Acuerdo_ministerial 97a_tabla 1,Hierro,20/03/2018 15:09,"0,02",
Molino,Agua cruda,Casa_de_máquinas,776563,9715038,Semestral,Acuerdo_ministerial 97a_tabla 1,pH,20/03/2018 15:09,"6,71",
Molino,Agua cruda,Casa_de_máquinas,776563,9715038,Semestral,Acuerdo_ministerial 97a_tabla 1,Turbiedad,20/03/2018 15:09,"0,45",
Molino,Agua cruda,Casa_de_máquinas,776563,9715038,Anual,Acuerdo_ministerial 97a_tabla 1,Coliformes fecales,26/12/2018 10:00,86,
Molino,Agua cruda,Casa_de_máquinas,776563,9715038,Anual,Acuerdo_ministerial 97a_tabla 1,Color real,26/12/2018 10:00,25,
Molino,Agua cruda,Casa_de_máquinas,776563,9715038,Anual,Acuerdo_ministerial 97a_tabla 1,Hierro,26/12/2018 10:00,"0,25",
Molino,Agua cruda,Casa_de_máquinas,776563,9715038,Anual,Acuerdo_ministerial 97a_tabla 1,pH,26/12/2018 10:00,"7,6",
Molino,Agua cruda,Casa_de_máquinas,776563,9715038,Anual,Acuerdo_ministerial 97a_tabla 1,Turbiedad,26/12/2018 10:00,"0,48",
Molino,Agua cruda,Molino_2,770542,9716201,Anual,Acuerdo_ministerial 97a_tabla 1,Coliformes fecales,26/12/2018 10:00,1,
Molino,Agua cruda,Molino_2,770542,9716201,Anual,Acuerdo_ministerial 97a_tabla 1,Color real,26/12/2018 10:00,5,
Molino,Agua cruda,Molino_2,770542,9716201,Anual,Acuerdo_ministerial 97a_tabla 1,Hierro,26/12/2018 10:00,"0,25",
Molino,Agua cruda,Molino_2,770542,9716201,Anual,Acuerdo_ministerial 97a_tabla 1,pH,26/12/2018 10:00,7,
Molino,Agua cruda,Molino_2,770542,9716201,Anual,Acuerdo_ministerial 97a_tabla 1,Turbiedad,26/12/2018 10:00,"0,1",
Molino,Agua cruda,Presa_daniel_palacios,770365,9712905,Anual,Acuerdo_ministerial 97a_tabla 1,Coliformes fecales,28/12/2018 10:00,1,
Molino,Agua cruda,Presa_daniel_palacios,770365,9712905,Anual,Acuerdo_ministerial 97a_tabla 1,Color real,28/12/2018 10:00,4,
Molino,Agua cruda,Presa_daniel_palacios,770365,9712905,Anual,Acuerdo_ministerial 97a_tabla 1,Hierro,28/12/2018 10:00,"0,25",
Molino,Agua cruda,Presa_daniel_palacios,770365,9712905,Anual,Acuerdo_ministerial 97a_tabla 1,pH,28/12/2018 10:00,7,
Molino,Agua cruda,Presa_daniel_palacios,770365,9712905,Anual,Acuerdo_ministerial 97a_tabla 1,Turbiedad,28/12/2018 10:00,"0,23",
Molino,Agua cruda,Quebrada_campamento,777930,9714120,Anual,Acuerdo_ministerial 97a_tabla 1,Aluminio,16/09/2019 14:52,"0,1",
Molino,Agua cruda,Quebrada_campamento,777930,9714120,Anual,Acuerdo_ministerial 97a_tabla 1,DBO5,16/09/2019 14:52,6,
Molino,Agua cruda,Quebrada_campamento,777930,9714120,Anual,Acuerdo_ministerial 97a_tabla 1,Hierro,16/09/2019 14:52,"0,25",
Molino,Agua cruda,Quebrada_campamento,777930,9714120,Anual,Acuerdo_ministerial 97a_tabla 1,Manganeso,16/09/2019 14:52,"0,1",
Molino,Agua cruda,Quebrada_campamento,777930,9714120,Anual,Acuerdo_ministerial 97a_tabla 1,Níquel,16/09/2019 14:52,"0,03",
Molino,Agua cruda,Quebrada_campamento,777930,9714120,Anual,Acuerdo_ministerial 97a_tabla 1,Oxígeno disuelto ,16/09/2019 14:52,"10,63",
Molino,Agua cruda,Quebrada_campamento,777930,9714120,Anual,Acuerdo_ministerial 97a_tabla 1,pH,16/09/2019 14:52,"6,5",
Molino,Agua cruda,Casa_de_máquinas,776563,9715038,Anual,Acuerdo_ministerial 97a_tabla 1,Aluminio,16/09/2019 14:52,"0,1",
Molino,Agua cruda,Casa_de_máquinas,776563,9715038,Anual,Acuerdo_ministerial 97a_tabla 1,DBO5,16/09/2019 14:52,6,
Molino,Agua cruda,Casa_de_máquinas,776563,9715038,Anual,Acuerdo_ministerial 97a_tabla 1,Hierro,16/09/2019 14:52,"0,25",
Molino,Agua cruda,Casa_de_máquinas,776563,9715038,Anual,Acuerdo_ministerial 97a_tabla 1,Manganeso,16/09/2019 14:52,"0,1",
Molino,Agua cruda,Casa_de_máquinas,776563,9715038,Anual,Acuerdo_ministerial 97a_tabla 1,Níquel,16/09/2019 14:52,"0,03",
Molino,Agua cruda,Casa_de_máquinas,776563,9715038,Anual,Acuerdo_ministerial 97a_tabla 1,Oxígeno disuelto ,16/09/2019 14:52,"10,5",
Molino,Agua cruda,Casa_de_máquinas,776563,9715038,Anual,Acuerdo_ministerial 97a_tabla 1,pH,16/09/2019 14:52,"7,9",
Molino,Agua cruda,Quebrada_campamento ,777930,9714120,Semestral,Acuerdo_ministerial 97a_tabla 1 ,Turbiedad,30/08/2020 9:20,"0,7",
Molino,Agua cruda,Quebrada_campamento ,777930,9714120,Semestral,Acuerdo_ministerial 97a_tabla 1 ,Coliformes fecales,30/08/2020 9:20,1550,
Molino,Agua cruda,Quebrada_campamento ,777930,9714120,Semestral,Acuerdo_ministerial 97a_tabla 1 ,pH,30/08/2020 9:20,"6,37",
Molino,Agua cruda,Casa_de_máquinas,776563,9715038,Semestral,Acuerdo_ministerial 97a_tabla 1 ,Turbiedad,30/08/2020 17:10,"1,01",
Molino,Agua cruda,Casa_de_máquinas,776563,9715038,Semestral,Acuerdo_ministerial 97a_tabla 1 ,Coliformes fecales,30/08/2020 17:10,"1,1",
Molino,Agua cruda,Casa_de_máquinas,776563,9715038,Semestral,Acuerdo_ministerial 97a_tabla 1 ,pH,30/08/2020 17:10,"7,21",
Molino,Agua cruda,Casa_de_máquinas,776563,9715038,Anual,Acuerdo_ministerial 97a_tabla 1,Coliformes fecales,22/11/2020 8:10,"1,1",
Molino,Agua cruda,Casa_de_máquinas,776563,9715038,Anual,Acuerdo_ministerial 97a_tabla 1,Hierro,22/11/2020 8:10,"1,7",
Molino,Agua cruda,Casa_de_máquinas,776563,9715038,Anual,Acuerdo_ministerial 97a_tabla 1,pH,22/11/2020 8:10,"6,4",
Molino,Agua cruda,Casa_de_máquinas,776563,9715038,Anual,Acuerdo_ministerial 97a_tabla 1,Turbiedad,22/11/2020 8:10,"1,68",
Molino,Agua cruda,Quebrada_campamento,777930,9714120,Anual,Acuerdo_ministerial 97a_tabla 1,Coliformes fecales,22/11/2020 13:30,1450,
Molino,Agua cruda,Quebrada_campamento,777930,9714120,Anual,Acuerdo_ministerial 97a_tabla 1,Hierro,22/11/2020 13:30,"1,7",
Molino,Agua cruda,Quebrada_campamento,777930,9714120,Anual,Acuerdo_ministerial 97a_tabla 1,pH,22/11/2020 13:30,"6,72",
Molino,Agua cruda,Quebrada_campamento,777930,9714120,Anual,Acuerdo_ministerial 97a_tabla 1,Turbiedad,22/11/2020 13:30,"0,7",
Molino,Agua cruda,Casa_de_máquinas,776563,9715038,Anual,Acuerdo_ministerial 97a_tabla 1,Coliformes fecales,16/05/2021 17:40,"1,8",
Molino,Agua cruda,Casa_de_máquinas,776563,9715038,Anual,Acuerdo_ministerial 97a_tabla 1,Color real,16/05/2021 17:40,6,
Molino,Agua cruda,Casa_de_máquinas,776563,9715038,Anual,Acuerdo_ministerial 97a_tabla 1,DBO5,16/05/2021 17:40,"0,37",
Molino,Agua cruda,Casa_de_máquinas,776563,9715038,Anual,Acuerdo_ministerial 97a_tabla 1,DQO,16/05/2021 17:40,8,
Molino,Agua cruda,Casa_de_máquinas,776563,9715038,Anual,Acuerdo_ministerial 97a_tabla 1,Hierro,16/05/2021 17:40,"1,7",
